Stress Score,Transcription Factors,Male Score,Female Score
,Foxl1,,
,Foxa2,,
,Hoxb7,,
,Dmrt3,,
,Zfp708,,
,Bhlha15,,
,Pou3f4,,
,Zfp652,,
,Zfp760,,
,Xbp1,,
,Foxj2,,
,Pknox1,,
,Zfp969,,
,Setdb2,,
,Sox21,,
,Mael,,
,Hand1,,
,Gm14296,,
,Gata5,,
,Smad3,,
,Obox6,,
,Zfp654,,
,Zbtb2,,
,Baz2b,,
,Tgif2,,
,Zfp408,,
,Irf4,,
,Ikzf3,,
,Foxb1,,
,Zfp526,,
,Rbpj,,
,Gmeb2,,
,Pitx2,,
,Gm32717,,
,Zfta,,
,Zfp715,,
,Prdm15,,
,Zfp512,,
,Zfp7,,
,Zfp850,,
,Nsd2,,
,Six5,,
,Hsf5,,
,Zfp442,,
,Zfp449,,
,Zfp661,,
,Zfp931,,
,Rxrg,,
,Zfp473,,
,Mef2c,,
,Zfp354b,,
,Zfp182,,
,Foxe1,,
,Myc,,
,Zfp990,,
,Prdm1,,
,Gm9040,,
,Hoxa4,,
,Tbx20,,
,Pou6f1,,
,Zim1,,
,Zkscan4,,
,Nfyc,,
,Zic2,,
,Gli3,,
,Zfp846,,
,Zfp82,,
,Nfx1,,
,Aff3,,
,Zfp560,,
,Zfp266,,
,Zfp11,,
,Smarce1,,
,Rcor1,,
,Fezf2,,
,Bhlhe40,,
,Rhox2g,,
,Relb,,
,Lef1,,
,Gm14419,,
,Zfp433,,
,Neurod2,,
,Zfp784,,
,Hoxd4,,
,Gm9044,,
,Uncx,,
,Spic,,
,Gmeb1,,
,Hsf1,,
,Usf2,,
,Foxk1,,
,Zfp51,,
,Zfp938,,
,E2f3,,
,Zbtb8a,,
,Smad6,,
,Snai1,,
,Stat1,,
,Hoxd3,,
,Gm10033,,
,Fosl1,,
,Irx3,,
,Npas3,,
,Myod1,,
,Zfp973,,
,Foxq1,,
,Zfp759,,
,Gm9046,,
,Tbx10,,
,Sohlh2,,
,Zfp281,,
,Fiz1,,
,Rarb,,
,Zfp942,,
,Zfp169,,
,Zfp648,,
,Spi1,,
,Zfp853,,
,Arid3c,,
,Mga,,
,Hbp1,,
,Gm3854,,
,Arnt,,
,Snai3,,
,Gm11009,,
,Bhlha9,,
,Hmg20a,,
,Zbtb44,,
,Foxp4,,
,Zbtb38,,
,Gzf1,,
,Tfeb,,
,Gata2,,
,Mynn,,
,Esrrg,,
,Pax6,,
,Zfp958,,
,Zfp42,,
,Nkx2-9,,
,Gm7072,,
,Nr5a2,,
,Zfp523,,
,Zbtb10,,
,Nkx3-1,,
,Zfp595,,
,Klf11,,
,Gm28557,,
,Zfp317,,
,Arntl2,,
,Zfp142,,
,Mbd4,,
,Paxbp1,,
,Zfp800,,
,Smad2,,
,Zfp971,,
,Plag1,,
,Nr2e1,,
,Foxd1,,
,Rcor3,,
,Zfpm2,,
,Vezf1,,
,Pbx3,,
,Hnf4a,,
,D130040H23Rik,,
,Gm6871,,
,Gm14401,,
,Ets1,,
,Nr5a1,,
,Mbd2,,
,Zfp947,,
,Zfp879,,
,Sox14,,
,Zfp746,,
,Hes3,,
,Nobox,,
,Zfp936,,
,Zscan26,,
,E2f5,,
,Ssrp1,,
,Gm35315,,
,Stat3,,
,Foxo4,,
,Zfp770,,
,Gtf2i,,
,Aebp2,,
,Duxbl1,,
,Gbx2,,
,Zfp974,,
,Tead2,,
,Zfp97,,
,Zfp27,,
,Nfat5,,
,Zfp472,,
,Myt1,,
,Dach2,,
,Hnf4g,,
,Gm21915,,
,Hsfy2,,
,Atf1,,
,Thap4,,
,Zbtb17,,
,Tsc22d1,,
,Gm3055,,
,Gm15446,,
,Lyl1,,
,Gm20422,,
,Hoxd9,,
,Rhox3a,,
,Mycn,,
,Dbx2,,
,Zfp697,,
,Zbtb26,,
,Zfp444,,
,Npas4,,
,Tulp3,,
,Pms1,,
,Foxf1,,
,Zfp131,,
,Zfp810,,
,Zfp773,,
,Zfpm1,,
,Ctcf,,
,Zfp729b,,
,Zfp429,,
,Tfap2e,,
,Tlx2,,
,Sp8,,
,2610021A01Rik,,
,Usf1,,
,Mta3,,
,Elf3,,
,Ascl3,,
,Ebf2,,
,Zfp968,,
,Mnt,,
,Creb3l2,,
,Meis2,,
,Zfp521,,
,Zfp993,,
,Zfp653,,
,Klf2,,
,Nr2c2,,
,Zmat1,,
,Cebpa,,
,Zbtb8b,,
,Elk4,,
,Zfp597,,
,Gm29106,,
,Foxo3,,
,Tcf12,,
,Foxp1,,
,Mlxip,,
,Prox2,,
,Obox8,,
,Rara,,
,Zbtb4,,
,Hoxc6,,
,Nrl,,
,Vsx2,,
,Nr4a3,,
,Ebf4,,
,Tlx3,,
,Zfp945,,
,Mier3,,
,Mycs,,
,Zbtb34,,
,Atf7,,
,Platr25,,
,Pax3,,
,Gm2007,,
,Irf1,,
,Zfp286,,
,Hnf1b,,
,Nkx1-1,,
,Tada2b,,
,Zfp275,,
,Mkrn2,,
,Hoxc5,,
,Pgr,,
,Gm28360,,
,Pax9,,
,Hoxc8,,
,Ubp1,,
,Tcf7l1,,
,Hoxd1,,
,Zfp341,,
,Ebf1,,
,Myb,,
,Klf6,,
,Klf17,,
,Gatad2b,,
,Usf3,,
,Gm10770,,
,Zfp362,,
,Gm5767,,
,Gm14410,,
,Zfp787,,
,Tgif2lx1,,
,Zfp583,,
,Twist1,,
,Zfp296,,
,Gm14403,,
,Sox7,,
,Carhsp1,,
,Sohlh1,,
,Zfp273,,
,Zfp334,,
,Snapc4,,
,Foxp2,,
,Tulp1,,
,Elf5,,
,Zfp119a,,
,Tfap4,,
,Zbtb42,,
,2010315B03Rik,,
,Foxo1,,
,Tsc22d2,,
,E2f2,,
,Zfp64,,
,E2f1,,
,Neurod6,,
,Neurog1,,
,Batf3,,
,Zscan22,,
,Klf8,,
,Rhox7a,,
,Foxl3,,
,Tcf15,,
,Rhox2f,,
,Foxg1,,
,Rora,,
,2810021J22Rik,,
,E2f6,,
,Zfp946,,
,Hoxb9,,
,Rhox9,,
,Zfp456,,
,Gm9045,,
,Glis1,,
,Bsx,,
,Hdx,,
,Cebpd,,
,Zbtb46,,
,Hmg20b,,
,Ncor2,,
,2610008E11Rik,,
,Zfp607b,,
,Gcm1,,
,Rhox4b,,
,Dlx3,,
,Nfkb2,,
,Tox4,,
,Zfp672,,
,Zfp825,,
,Zhx1,,
,Spib,,
,Irf5,,
,Zfp52,,
,Fezf1,,
,Scrt1,,
,Homez,,
,4930522L14Rik,,
,Nr4a2,,
,Zfp692,,
,Thap12,,
,Zfp953,,
,En1,,
,Onecut2,,
,Stat4,,
,Smad9,,
,Nfib,,
,Srebf2,,
,Gtf3a,,
,Pitx3,,
,Glis2,,
,Zfp948,,
,Gm21836,,
,Zfp811,,
,AI854703,,
,Nr4a1,,
,Adnp,,
,Sim2,,
,Elf2,,
,Mitf,,
,Zkscan6,,
,Zfy2,,
,Foxj3,,
,Zfp128,,
,Ptf1a,,
,Cdx2,,
,Tsc22d4,,
,Zbtb3,,
,Yy2,,
,Zfp870,,
,Zfp459,,
,Ascl5,,
,Tbx19,,
,Prrxl1,,
,Plagl1,,
,Rhox2b,,
,Hey1,,
,Hivep3,,
,Hopx,,
,Zfp689,,
,Olig3,,
,Elk3,,
,Gtf2ird1,,
,AU041133,,
,Sox5,,
,Zscan25,,
,Irx6,,
,Vdr,,
,Zfp322a,,
,Zfp513,,
,Hmgxb4,,
,Fosb,,
,Zik1,,
,Nhlh2,,
,Prdm5,,
,Hmx3,,
,Gm9049,,
,Zfp141,,
,Zfp872,,
,Zfp300,,
,Zfp663,,
,5730507C01Rik,,
,Elf1,,
,Zfp524,,
,Nkx6-3,,
,Six6,,
,Zfp777,,
,Zfp109,,
,Zbtb24,,
,Zfp966,,
,En2,,
,Nkx2-2,,
,Gm10130,,
,Zbtb43,,
,Hoxb8,,
,Gm4981,,
,Mafg,,
,Bach2,,
,Satb1,,
,Trerf1,,
,Zfp536,,
,Arid1b,,
,Zfp612,,
,Rfx7,,
,Arid3b,,
,Grhl2,,
,Tshz3,,
,L3mbtl4,,
,Cux2,,
,Hoxa6,,
,Rhox6,,
,Ncoa1,,
,Terf2,,
,Sox6,,
,Zfp985,,
,Hmgxb3,,
,Zfp90,,
,Zscan4c,,
,A630089N07Rik,,
,Neurog2,,
,Nanog,,
,Zfp81,,
,Zfp959,,
,Gm2026,,
,Rhox12,,
,Mafk,,
,Mta2,,
,Pax4,,
,Prdm4,,
,Zfp867,,
,Zfp120,,
,Zfp763,,
,Nfatc3,,
,Zxdb,,
,Zbtb5,,
,Hmga1,,
,Zfp711,,
,Zfp691,,
,Rhox4f,,
,Zfp276,,
,Tfap2d,,
,Arntl,,
,Gbx1,,
,Zfp738,,
,Zfp599,,
,Zkscan2,,
,Zfp3,,
,Thra,,
,Terf1,,
,Mta1,,
,Mzf1,,
,Ybx2,,
,Egr3,,
,Repin1,,
,Mxd3,,
,Zbtb7c,,
,Zfp808,,
,Tbx3,,
,Heyl,,
,Myt1l,,
,Wt1,,
,Gm10226,,
,Nr2e3,,
,Zfp62,,
,Zbtb32,,
,Zfp398,,
,Zbtb22,,
,Hic1,,
,Pou1f1,,
,Shox2,,
,Zfp454,,
,Zfp418,,
,Nfyb,,
,Zfp771,,
,Lrrfip2,,
,Zfp268,,
,Cebpe,,
,Zfp180,,
,Prdm14,,
,Pbx4,,
,Zbtb18,,
,Zscan4-ps1,,
,Barhl1,,
,Zfp551,,
,Zfp747,,
,Zfp963,,
,Gata3,,
,Smad4,,
,Gm14322,,
,Zfp978,,
,Tcf3,,
,Rxrb,,
,Barhl2,,
,Msgn1,,
,Pou2f1,,
,Atoh8,,
,Bcl11b,,
,Zic5,,
,Zfp820,,
,Rfx5,,
,Zfp616,,
,Gm10772,,
,Klf4,,
,Esrra,,
,Tead1,,
,Onecut3,,
,Gm12845,,
,Sp7,,
,Zfp319,,
,St18,,
,Gm14412,,
,Gm7145,,
,Zfp579,,
,Zfp248,,
,Nfkb1,,
,Hoxc13,,
,Gli2,,
,Zfp933,,
,Zhx3,,
,Csde1,,
,Pknox2,,
,Atf3,,
,Zfp687,,
,Zfp93,,
,Nfic,,
,Zfp324,,
,Zfp869,,
,Hoxc4,,
,Rhox4g,,
,Zfp60,,
,Hand2,,
,Zfp935,,
,Zfp36l2,,
,9130023H24Rik,,
,Bcl6,,
,Zic4,,
,Nr3c1,,
,Zfp414,,
,Zfp998,,
,Mxd1,,
,Zfp975,,
,Zfp512b,,
,Rhox4c,,
,Lhx5,,
,Tbr1,,
,Hoxc10,,
,Zfp467,,
,Gcm2,,
,Helt,,
,Trp73,,
,Zfp865,,
,Evx1,,
,Zkscan5,,
,Baz2a,,
,Vax2,,
,Ovol2,,
,Id1,,
,Tfap2a,,
,Ubtfl1,,
,Elk1,,
,Esrrb,,
,Irx2,,
,Isl1,,
,Mbd3,,
,Irf8,,
,Zfp114,,
,Zfp426,,
,Pias3,,
,Elf4,,
,Mesp2,,
,Csdc2,,
,AI987944,,
,Zfp46,,
,Dlx6,,
,Max,,
,Lhx9,,
,Pax2,,
,Hsf2,,
,Meiosin,,
,Zhx2,,
,Nkx1-2,,
,Zscan12,,
,Nr2f6,,
,Nfil3,,
,Gata6,,
,Tox,,
,Gm14418,,
,Sry,,
,Gm14409,,
,Zfp493,,
,Phox2a,,
,Sox10,,
,Zfp575,,
,Dmbx1,,
,Hmx1,,
,Mef2a,,
,Klf14,,
,Tcf23,,
,Lcor,,
,Zfp980,,
,Evx2,,
,Zfp367,,
,Foxd2,,
,Hivep2,,
,Plagl2,,
,Zfhx2,,
,Cebpb,,
,Mybl2,,
,Zfp955a,,
,Zbtb11,,
,Gm21994,,
,Hes5,,
,Tfcp2,,
,Tub,,
,Zfp707,,
,Atf4,,
,Hoxd12,,
,Zfp790,,
,Six1,,
,Hoxa1,,
,Rfx8,,
,Zfp874a,,
,Tfdp2,,
,Zfp563,,
,Zfp655,,
,Trp63,,
,Cdc5l,,
